Nom de la commune,Populationtotal,Population_string
Presles-et-Thierny,400,400
Priez,52,52
Prisces,106,106
Proisy,339,339
Proix,146,146
Prouvais,326,326
Proviseux-et-Plesnoy,123,123
Puiseux-en-Retz,220,220
Puisieux-et-Clanlieu,298,298
Quierzy,426,426
Quincy-Basse,61,61
Quincy-sous-le-Mont,61,61
Raillimont,83,83
Ramicourt,155,155
Regny,206,206
Remaucourt,309,309
Remies,236,236
Remigny,359,359
Renansart,168,168
Renneval,116,116
Résigny,187,187
Ressons-le-Long,780,780
Retheuil,372,372
Reuilly-Sauvigny,210,210
Ribeauville,63,63
Ribemont,2009,2009
Rocourt-Saint-Martin,293,293
Rocquigny,366,366
Rogécourt,106,106
Rogny,113,113
Romeny-sur-Marne,517,517
Romery,83,83
Ronchères,115,115
Roucy,405,405
Rougeries,247,247
Roupy,237,237
Rouvroy,522,522
Rouvroy-sur-Serre,41,41
Royaucourt-et-Chailvet,255,255
Rozet-Saint-Albin,320,320
Rozières-sur-Crise,232,232
Rozoy-Bellevalle,119,119
Rozoy-sur-Serre,1022,1022
Saconin-et-Breuil,235,235
Sains-Richaumont,1063,1063
Saint-Algis,156,156
Saint-Aubin,296,296
Saint-Bandry,271,271
Saint-Christophe-à-Berry,452,452
Saint-Clément,50,50
Saint-Erme-Outre-et-Ramecourt,1763,1763
Saint-Eugène,246,246
Saint-Gengoulph,152,152
Saint-Gobain,2320,2320
Saint-Gobert,272,272
Saint-Mard,115,115
Saint-Martin-Rivière,118,118
Saint-Michel,3475,3475
Saint-Nicolas-aux-Bois,120,120
Saint-Paul-aux-Bois,393,393
Saint-Pierre-Aigle,343,343
Saint-Pierre-lès-Franqueville,55,55
Saint-Pierremont,44,44
Saint-Quentin,55098,55098
Saint-Rémy-Blanzy,222,222
Saint-Simon,643,643
Saint-Thibaut,78,78
Saint-Thomas,84,84
Sainte-Croix,131,131
Sainte-Geneviève,71,71
Sainte-Preuve,83,83
Samoussy,391,391
Sancy-les-Cheminots,102,102
Saponay,294,294
Saulchery,732,732
Savy,631,631
Seboncourt,1109,1109
Selens,254,254
La Selve,223,223
Septmonts,571,571
Les Septvallons,1200,1200
Septvaux,179,179
Sequehart,217,217
Serain,414,414
Seraucourt-le-Grand,786,786
Serches,316,316
Sergy,154,154
Seringes-et-Nesles,280,280
Sermoise,351,351
Servais,293,293
Serval,54,54
Séry-lès-Mézières,587,587
Silly-la-Poterie,128,128
Sinceny,2082,2082
