Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Dhuys et Morin-en-Brie,834,834,8
Dizy-le-Gros,762,762,7
Dohis,101,101,1
Dolignon,51,51,5
Dommiers,299,299,2
Domptin,668,668,6
Dorengt,160,160,1
Douchy,166,166,1
Dravegny,134,134,1
Droizy,77,77,7
Dury,227,227,2
Ébouleau,206,206,2
Effry,329,329,3
Englancourt,127,127,1
Épagny,346,346,3
Éparcy,36,36,3
Épaux-Bézu,575,575,5
Épieds,404,404,4
L' Épine-aux-Bois,272,272,2
Eppes,431,431,4
Erlon,293,293,2
Erloy,98,98,9
Esquéhéries,869,869,8
Essigny-le-Grand,1046,1046,1
Essigny-le-Petit,349,349,3
Essises,428,428,4
Essômes-sur-Marne,2851,2851,2
Estrées,420,420,4
Étampes-sur-Marne,1280,1280,1
Étaves-et-Bocquiaux,567,567,5
Étouvelles,221,221,2
Étréaupont,867,867,8
Étreillers,1229,1229,1
Étrépilly,119,119,1
Étreux,1468,1468,1
Évergnicourt,576,576,5
Faverolles,329,329,3
Fayet,671,671,6
La Fère,2999,2999,2
Fère-en-Tardenois,3108,3108,3
La Ferté-Chevresis,550,550,5
La Ferté-Milon,2243,2243,2
Fesmy-le-Sart,494,494,4
Festieux,685,685,6
Fieulaine,263,263,2
Filain,131,131,1
La Flamengrie,1128,1128,1
Flavigny-le-Grand-et-Beaurain,473,473,4
Flavy-le-Martel,1716,1716,1
Fleury,141,141,1
Fluquières,224,224,2
Folembray,1404,1404,1
Fonsomme,476,476,4
Fontaine-lès-Clercs,254,254,2
Fontaine-lès-Vervins,1095,1095,1
Fontaine-Notre-Dame,392,392,3
Fontaine-Uterte,131,131,1
Fontenelle,280,280,2
Fontenoy,498,498,4
Foreste,166,166,1
Fossoy,530,530,5
Fourdrain,428,428,4
Francilly-Selency,481,481,4
Franqueville,116,116,1
Fresnes-en-Tardenois,272,272,2
Fresnes-sous-Coucy,161,161,1
Fresnoy-le-Grand,3014,3014,3
Fressancourt,197,197,1
Frières-Faillouël,1013,1013,1
Froidestrées,180,180,1
Froidmont-Cohartille,269,269,2
Gandelu,696,696,6
Gauchy,5360,5360,5
Gercy,278,278,2
Gergny,137,137,1
Germaine,81,81,8
Gibercourt,43,43,4
Gizy,684,684,6
Gland,456,456,4
Goudelancourt-lès-Berrieux,57,57,5
Goudelancourt-lès-Pierrepont,137,137,1
Goussancourt,122,122,1
Gouy,570,570,5
Grand-Rozoy,309,309,3
Grand-Verly,138,138,1
Grandlup-et-Fay,312,312,3
Grandrieux,85,85,8
Gricourt,1007,1007,1
Grisolles,254,254,2
Gronard,75,75,7
Grougis,363,363,3
Grugies,1382,1382,1
Guise,4929,4929,4
Guivry,254,254,2
Guny,427,427,4
Guyencourt,258,258,2
Hannapes,324,324,3
Happencourt,137,137,1
Haramont,588,588,5
Harcigny,244,244,2
Hargicourt,602,602,6
Harly,1646,1646,1
Hartennes-et-Taux,381,381,3
Hary,213,213,2
Hautevesnes,170,170,1
Hauteville,171,171,1
Haution,151,151,1
La Hérie,149,149,1
Le Hérie-la-Viéville,351,351,3
Hinacourt,26,26,2
Hirson,9001,9001,9
Holnon,1427,1427,1
Homblières,1510,1510,1
Houry,55,55,5
Housset,156,156,1
Iron,241,241,2
Itancourt,1066,1066,1
Iviers,234,234,2
Jaulgonne,661,661,6
Jeancourt,273,273,2
Jeantes,205,205,2
Joncourt,302,302,3
Jouaignes,149,149,1
Jumencourt,152,152,1
Jumigny,65,65,6
Jussy,1278,1278,1
Juvigny,281,281,2
Juvincourt-et-Damary,604,604,6
Laffaux,153,153,1
Laigny,197,197,1
Lanchy,38,38,3
Landifay-et-Bertaignemont,276,276,2
Landouzy-la-Cour,187,187,1
Landouzy-la-Ville,546,546,5
Landricourt,142,142,1
Laniscourt,187,187,1
Laon,25549,25549,2
Lappion,272,272,2
Largny-sur-Automne,255,255,2
Latilly,213,213,2
Launoy,100,100,1
Laval-en-Laonnois,254,254,2
Lavaqueresse,207,207,2
Laversine,163,163,1
Lehaucourt,885,885,8
Lemé,441,441,4
Lempire,100,100,1
Lerzy,217,217,2
Leschelle,279,279,2
Lesdins,844,844,8
Lesges,103,103,1
Lesquielles-Saint-Germain,817,817,8
Leuilly-sous-Coucy,428,428,4
Leury,106,106,1
Leuze,176,176,1
Levergies,555,555,5
Lhuys,142,142,1
Licy-Clignon,76,76,7
Lierval,119,119,1
Liesse-Notre-Dame,1404,1404,1
Liez,401,401,4
Limé,190,190,1
Lislet,235,235,2
Logny-lès-Aubenton,74,74,7
Longpont,271,271,2
Lor,142,142,1
Louâtre,202,202,2
Loupeigne,92,92,9
Lucy-le-Bocage,202,202,2
Lugny,114,114,1
Luzoir,291,291,2
Ly-Fontaine,122,122,1
Maast-et-Violaine,152,152,1
Mâchecourt,125,125,1
Macogny,76,76,7
Macquigny,378,378,3
Magny-la-Fosse,126,126,1
Maissemy,246,246,2
Maizy,414,414,4
La Malmaison,413,413,4
Malzy,204,204,2
Manicamp,311,311,3
Marchais,438,438,4
Marcy,181,181,1
Marcy-sous-Marle,195,195,1
Marest-Dampcourt,375,375,3
Mareuil-en-Dôle,242,242,2
Marfontaine,88,88,8
Margival,372,372,3
Marigny-en-Orxois,490,490,4
Marizy-Saint-Mard,51,51,5
Marizy-Sainte-Geneviève,130,130,1
Marle,2305,2305,2
Marly-Gomont,490,490,4
Martigny,446,446,4
Martigny-Courpierre,126,126,1
Mauregny-en-Haye,424,424,4
Mayot,212,212,2
Mennessis,412,412,4
Mennevret,663,663,6
Mercin-et-Vaux,983,983,9
Merlieux-et-Fouquerolles,267,267,2
Mesbrecourt-Richecourt,307,307,3
Mesnil-Saint-Laurent,492,492,4
Meurival,52,52,5
Mézières-sur-Oise,524,524,5
Mézy-Moulins,525,525,5
